date,open,high,low,close,volume
2005-08-26,121.48,121.49,120.68,83.044,61956800
2005-08-29,120.41,121.78,120.38,83.6836,56179200
2005-08-30,121.25,121.3,120.39,83.2434,74160200
2005-08-31,121.19,122.66,120.74,84.2956,102945200
2005-09-01,122.52,123.15,121.14,84.2337,74578700
2005-09-02,122.85,122.88,122.04,84.0824,47653400
2005-09-06,122.66,123.8,122.65,85.0658,57251300
2005-09-07,123.63,124.13,123.46,85.2102,41749700
2005-09-08,123.66,124.0,123.31,84.9283,39068700
2005-09-09,123.83,124.74,123.8,85.6847,43093900
2005-09-12,124.45,124.67,124.27,85.5128,33017600
2005-09-13,124.13,124.42,123.52,85.0383,58427500
2005-09-14,123.74,123.92,123.02,84.7288,57694600
2005-09-15,123.59,123.65,122.9,84.6876,73156900
2005-09-16,123.3,123.74,122.87,85.2898,75424100
2005-09-19,123.47,123.55,122.64,85.0066,53355300
2005-09-20,123.2,123.61,121.87,84.2884,84480300
2005-09-21,121.79,121.87,120.78,83.5011,94469100
2005-09-22,120.95,121.66,120.44,83.7981,84597200
2005-09-23,121.24,121.89,120.9,83.8671,59368100
2005-09-26,122.02,122.24,121.08,83.9638,70415400
2005-09-27,121.52,121.99,121.02,83.9431,66150800
2005-09-28,121.93,122.12,121.2,84.026,58620500
2005-09-29,121.55,122.86,121.08,84.7097,66607700
2005-09-30,122.62,123.04,121.74,84.9721,47824200
2005-10-03,122.96,123.34,122.45,84.6682,50994800
2005-10-04,122.79,123.03,121.16,83.7152,60776300
2005-10-05,121.25,121.31,119.57,82.6171,106052100
2005-10-06,119.78,120.26,118.17,82.3202,140941800
2005-10-07,119.7,120.05,119.13,82.6033,75661400
2005-10-10,119.68,119.71,118.3,81.9058,52677000
2005-10-11,118.99,119.39,118.32,81.7884,75629800
2005-10-12,118.39,119.13,117.41,81.1461,100510400
2005-10-13,117.46,118.08,116.88,81.0978,99052900
2005-10-14,118.12,118.81,117.56,81.9542,88651000
2005-10-17,118.8,119.27,118.45,82.258,68109300
2005-10-18,118.94,118.96,117.8,81.3671,74996900
2005-10-19,117.5,119.8,117.12,82.7207,116563800
2005-10-20,119.49,119.81,117.3,81.2635,131966700
2005-10-21,118.29,118.78,117.51,81.5812,96579500
2005-10-24,118.44,120.09,118.41,82.845,71308400
2005-10-25,119.72,120.24,118.94,82.6793,76594500
2005-10-26,119.51,120.54,119.19,82.4376,80855800
2005-10-27,119.2,119.37,117.93,81.5605,66623100
2005-10-28,118.43,119.95,118.1,82.7345,72322000
2005-10-31,120.29,121.3,120.13,82.9624,77698900
2005-11-01,120.58,120.9,120.22,83.2111,66365100
2005-11-02,120.17,121.75,120.13,84.0812,74012300
2005-11-03,122.15,122.66,121.75,84.4403,84897600
2005-11-04,122.4,122.46,121.55,84.3298,59156000
2005-11-07,122.37,122.62,121.85,84.4127,46765400
2005-11-08,121.93,122.42,121.79,84.4127,42152800
2005-11-09,122.08,122.95,121.86,84.5232,57666800
2005-11-10,122.34,123.52,121.75,85.1793,79048100
2005-11-11,123.35,123.84,122.43,85.4693,34867000
2005-11-14,123.79,124.02,123.38,85.421,45092200
2005-11-15,123.55,124.09,122.86,85.1102,69592500
2005-11-16,123.37,123.55,122.98,85.2829,51133000
2005-11-17,123.68,124.65,123.14,86.0771,55717500
2005-11-18,125.06,125.28,124.33,86.4155,72437200
2005-11-21,125.15,125.91,124.98,86.8505,50021200
2005-11-22,125.56,126.52,125.42,87.2235,66438800
2005-11-23,126.25,127.41,126.21,87.7276,50854700
2005-11-25,126.98,127.22,126.81,87.7967,15270000
2005-11-28,127.25,127.27,126.04,87.1751,54498500
2005-11-29,126.65,126.98,126.09,87.0784,51738900
2005-11-30,126.16,126.52,125.29,86.6088,56007200
2005-12-01,126.02,127.03,125.98,87.4928,65468200
2005-12-02,126.77,127.08,126.5,87.6033,46699400
2005-12-05,126.7,126.73,126.18,87.4168,59273400
2005-12-06,127.05,127.74,126.63,87.5826,57935200
2005-12-07,126.77,126.87,125.68,87.0715,66816500
2005-12-08,126.22,126.82,125.48,87.0163,62608600
2005-12-09,126.16,126.78,125.82,87.2442,50744500
2005-12-12,126.71,126.86,125.96,87.3271,48389900
2005-12-13,126.42,127.7,126.29,87.921,88630900
2005-12-14,127.19,128.09,127.14,88.2663,64375000
2005-12-15,127.84,128.0,127.18,88.0108,55900300
2005-12-16,127.28,127.36,126.36,87.7275,46238300
2005-12-19,126.73,126.87,125.69,87.2762,48733000
2005-12-20,125.86,126.59,125.48,87.3595,46603200
2005-12-21,126.22,126.76,125.8,87.4984,51806900
2005-12-22,126.31,126.69,126.08,87.9566,32247900
2005-12-23,126.78,126.86,126.42,88.0052,27977300
2005-12-27,126.96,127.05,125.38,87.1096,44499500
2005-12-28,125.74,125.99,125.5,87.304,30764300
2005-12-29,125.72,125.96,125.06,86.9152,32788900
2005-12-30,124.8,125.06,124.36,86.4431,44645600
2006-01-03,125.19,127.0,124.39,87.9636,73256700
2006-01-04,126.86,127.49,126.7,88.3801,51899600
2006-01-05,127.15,127.59,126.88,88.4357,47307500
2006-01-06,128.02,128.58,127.36,89.1716,62885900
2006-01-09,128.42,129.06,128.38,89.4007,43527400
2006-01-10,128.39,128.98,128.26,89.4909,44960800
2006-01-11,129.02,129.44,128.73,89.7756,49598900
2006-01-12,129.08,129.28,128.44,89.4215,40509200
2006-01-13,128.57,128.9,128.2,89.3382,44856700
2006-01-17,128.2,128.42,127.81,89.0952,52066600
2006-01-18,127.58,128.9,127.16,88.7411,75067600
2006-01-19,128.13,128.77,127.81,89.0813,81530400
2006-01-20,128.28,128.31,125.97,87.4567,114957800
2006-01-23,126.21,126.82,126.13,87.7692,67017400
2006-01-24,126.63,127.15,126.42,87.8594,53008800
2006-01-25,127.04,127.18,125.84,87.9358,87747700
2006-01-26,127.25,127.67,126.76,88.4218,71294000
2006-01-27,127.66,128.66,127.45,89.241,65771200
2006-01-30,128.44,128.81,128.35,89.1716,33709600
2006-01-31,128.32,128.54,127.49,88.519,72937000
2006-02-01,127.82,128.43,127.72,89.1369,63561000
2006-02-02,128.1,128.14,126.8,88.1024,83626900
2006-02-03,126.58,128.39,126.14,87.665,86040400
2006-02-06,126.44,126.8,126.17,87.8941,45511900
2006-02-07,126.38,126.66,125.4,87.1165,71208100
2006-02-08,125.85,128.1,125.6,87.908,59422200
2006-02-09,126.92,127.6,126.37,87.7622,62023300
2006-02-10,126.43,127.13,125.45,87.9219,64508700
2006-02-13,126.6,126.79,125.95,87.7622,52308700
2006-02-14,126.46,128.03,126.21,88.6925,90964400
2006-02-15,127.68,128.32,127.24,89.005,85471300
2006-02-16,128.34,129.21,128.18,89.6714,61017900
2006-02-17,129.05,129.16,128.58,89.4285,40342600
2006-02-21,129.11,129.4,128.29,89.2063,46456300
2006-02-22,128.77,129.65,128.65,89.7478,42326700
2006-02-23,129.27,129.64,128.28,89.6159,43423200
2006-02-24,129.11,129.48,128.76,89.845,36777400
2006-02-27,129.4,130.04,129.28,89.8797,35858600
2006-02-28,129.2,129.91,128.13,89.0258,74394800
2006-03-01,128.6,129.49,128.5,89.8172,48641600
2006-03-02,128.9,129.42,128.61,89.8103,60642300
2006-03-03,128.67,130.07,128.65,89.3937,73402500
2006-03-06,129.14,129.18,127.85,88.9841,57478400
2006-03-07,127.86,128.06,127.4,88.8453,61780800
2006-03-08,127.7,128.44,127.18,89.0327,66692400
2006-03-09,128.28,128.68,127.38,88.4357,56313600
2006-03-10,127.71,128.84,127.44,89.2757,60490800
2006-03-13,128.84,129.16,128.53,89.4423,45479100
2006-03-14,128.71,130.23,128.61,90.3796,69877300
2006-03-15,130.15,130.86,129.85,90.7823,53398900
2006-03-16,131.01,131.47,130.84,90.9697,65526400
2006-03-17,130.68,130.9,130.38,91.0457,47286800
2006-03-20,130.64,130.9,130.21,90.8993,45538500
2006-03-21,130.37,130.99,129.45,90.3278,87102700
2006-03-22,129.51,130.51,129.45,90.8784,51605700
2006-03-23,130.26,130.39,129.66,90.6902,46704200
2006-03-24,129.99,130.57,129.74,90.7599,43209200
2006-03-27,130.03,130.28,129.74,90.6275,32523000
2006-03-28,129.93,130.53,129.05,90.0699,82079900
2006-03-29,129.41,130.5,129.29,90.6345,61505700
2006-03-30,130.11,130.98,129.55,90.4741,70571700
2006-03-31,130.02,130.24,129.37,90.495,62925600
2006-04-03,130.07,130.87,129.49,90.4253,61624700
2006-04-04,129.73,130.73,129.36,91.0039,54809300
2006-04-05,130.61,131.28,130.38,91.3175,50607200
2006-04-06,130.85,131.21,130.19,91.22,57906200
2006-04-07,131.06,131.4,129.35,90.2929,80180900
2006-04-10,129.74,130.08,129.26,90.4323,41496500
2006-04-11,129.85,130.06,128.25,89.6656,72799400
2006-04-12,128.77,129.13,128.61,89.8329,43033700
2006-04-13,128.59,129.25,128.31,89.7144,51051800
2006-04-17,128.83,129.31,128.02,89.6795,64167700
2006-04-18,128.93,130.94,128.93,91.1015,92531800
2006-04-19,130.75,131.07,130.24,91.2757,87269000
2006-04-20,131.0,131.86,130.6,91.4012,86005500
2006-04-21,131.69,131.79,130.62,91.4151,72342600
2006-04-24,130.89,131.07,130.38,91.2478,52546400
2006-04-25,131.04,131.12,129.92,90.8714,84359800
2006-04-26,130.5,131.14,130.3,90.8924,67262400
2006-04-27,129.9,131.63,129.59,91.3315,124478600
2006-04-28,130.79,131.75,130.71,91.6382,55854400
2006-05-01,131.47,131.8,130.32,90.8924,64990300
2006-05-02,131.01,131.46,130.74,91.5754,49063500
2006-05-03,131.15,131.32,130.45,91.2339,60821300
2006-05-04,131.08,131.62,130.97,91.5615,42921400
2006-05-05,132.05,132.8,131.85,92.3701,62588200
2006-05-08,132.51,132.77,132.36,92.2585,30016700
2006-05-09,132.42,132.77,132.31,92.4398,29864000
2006-05-10,132.41,132.75,131.89,92.391,64378200
2006-05-11,132.51,132.55,130.52,91.2757,80626900
2006-05-12,130.36,130.72,129.19,90.0838,91726500
2006-05-15,128.79,129.74,128.61,90.265,84029300
2006-05-16,129.76,130.0,129.01,90.1326,62137600
2006-05-17,128.67,129.1,126.77,88.4179,144789500
2006-05-18,127.35,127.75,126.11,87.9718,87906300
2006-05-19,126.87,127.49,125.8,88.5922,124309400
2006-05-22,126.28,127.17,125.5,87.916,110852800
2006-05-23,127.18,127.63,125.17,87.2469,92006500
2006-05-24,125.68,126.89,124.76,87.9439,168405000
2006-05-25,126.92,127.73,126.43,89.0313,78977900
2006-05-26,128.01,128.38,127.51,89.4844,62989700
2006-05-30,127.97,128.0,126.05,87.8951,72419900
